BE4E78
	1-Dec-2018	:	A	:	986
	2-Dec-2018	:	B	:	1098
	3-Dec-2018	:	C	:	1128
	4-Dec-2018	:	D	:	1263
	5-Dec-2018	:	E	:	1205
	6-Dec-2018	:	F	:	1784
	7-Dec-2018	:	G	:	1014
	8-Dec-2018	:	H	:	904
	9-Dec-2018	:	I	:	944
	10-Dec-2018	:	J	:	1050
	11-Dec-2018	:	K	:	1443
	12-Dec-2018	:	L	:	1017
	13-Dec-2018	:	M	:	1133
	14-Dec-2018	:	N	:	1073
	15-Dec-2018	:	O	:	1714
	16-Dec-2018	:	P	:	1537
	17-Dec-2018	:	Q	:	1605
	18-Dec-2018	:	R	:	879
	19-Dec-2018	:	S	:	906
	20-Dec-2018	:	T	:	1238
	21-Dec-2018	:	U	:	1509
	22-Dec-2018	:	V	:	999
	23-Dec-2018	:	W	:	1749
	24-Dec-2018	:	X	:	1041
	25-Dec-2018	:	Y	:	1047
	26-Dec-2018	:	Z	:	918

C43FFD
	1-Dec-2018	:	A	:	1965
	2-Dec-2018	:	B	:	1980
	3-Dec-2018	:	C	:	1890
	4-Dec-2018	:	D	:	1721
	5-Dec-2018	:	E	:	2154
	6-Dec-2018	:	F	:	1754
	7-Dec-2018	:	G	:	2227
	8-Dec-2018	:	H	:	1823
	9-Dec-2018	:	I	:	1752
	10-Dec-2018	:	J	:	1890
	11-Dec-2018	:	K	:	1756
	12-Dec-2018	:	L	:	1559
	13-Dec-2018	:	M	:	1788
	14-Dec-2018	:	N	:	1653
	15-Dec-2018	:	O	:	1851
	16-Dec-2018	:	P	:	1793
	17-Dec-2018	:	Q	:	1619
	18-Dec-2018	:	R	:	1995
	19-Dec-2018	:	S	:	1794
	20-Dec-2018	:	T	:	1790
	21-Dec-2018	:	U	:	1891
	22-Dec-2018	:	V	:	2047
	23-Dec-2018	:	W	:	1601
	24-Dec-2018	:	X	:	2102
	25-Dec-2018	:	Y	:	1753
	26-Dec-2018	:	Z	:	1882

2FEA2A
	1-Dec-2018	:	A	:	1730
	2-Dec-2018	:	B	:	2047
	3-Dec-2018	:	C	:	1914
	4-Dec-2018	:	D	:	1785
	5-Dec-2018	:	E	:	1812
	6-Dec-2018	:	F	:	3322  	*	1510
	7-Dec-2018	:	G	:	3317
	8-Dec-2018	:	H	:	3457
	9-Dec-2018	:	I	:	3533
	10-Dec-2018	:	J	:	3420
	11-Dec-2018	:	K	:	3341
	12-Dec-2018	:	L	:	3417
	13-Dec-2018	:	M	:	3436
	14-Dec-2018	:	N	:	3482
	15-Dec-2018	:	O	:	3469
	16-Dec-2018	:	P	:	3336
	17-Dec-2018	:	Q	:	3350
	18-Dec-2018	:	R	:	3486
	19-Dec-2018	:	S	:	3518
	20-Dec-2018	:	T	:	3478
	21-Dec-2018	:	U	:	3462
	22-Dec-2018	:	V	:	3504
	23-Dec-2018	:	W	:	3407
	24-Dec-2018	:	X	:	3304
	25-Dec-2018	:	Y	:	3318
